Breed,Weight,Chest,Neck,BootSize,Age,Activity,HarnessSize
Dachshund,14.6,36.2,34.7,5,61.0,Low,S
Golden Retriever,28.8,76.2,,4,108.0,Medium,L
Rottweiler,37.6,92.3,46.7,3,,High,XL
Golden Retriever,33.4,73.1,44.7,2,75.0,High,L
Labrador,30.4,,39.4,5,22.0,Low,L
Poodle,17.9,46.7,34.8,2,107.0,Medium,S
Dachshund,9.1,46.1,29.9,2,92.0,Medium,S
Chihuahua,3.1,25.9,20.8,3,75.0,High,XS
Bulldog,22.1,63.7,41.9,5,13.0,High,M
Labrador,27.0,66.7,39.6,2,59.0,Medium,L
Bulldog,19.7,64.0,41.7,1,113.0,Low,M
Dachshund,12.4,38.2,33.0,6,22.0,Medium,S
Poodle,20.7,55.1,38.4,3,94.0,Low,M
German Shepherd,26.8,84.3,42.6,6,39.0,Medium,XL
Chihuahua,2.1,29.9,18.7,2,100.0,Low,XS
Rottweiler,53.0,98.1,46.0,7,31.0,Medium,XL
Boxer,26.0,74.4,35.4,4,27.0,Low,L
Poodle,22.0,59.9,39.4,5,97.0,High,M
Rottweiler,45.0,77.3,54.0,3,30.0,Medium,L
Chihuahua,2.3,32.2,20.8,5,70.0,Low,XS
Bulldog,18.2,59.7,40.3,3,53.0,High,M
Boxer,27.4,63.3,36.9,4,63.0,Medium,M
Labrador,25.9,75.1,44.5,3,25.0,Low,L
Rottweiler,51.9,95.0,56.1,5,23.0,High,XL
Chihuahua,3.3,33.9,21.6,1,41.0,Medium,XS
Rottweiler,48.6,88.9,56.9,1,27.0,Medium,XL
Dachshund,,42.3,26.2,2,60.0,Low,S
Beagle,9.7,45.1,32.0,2,84.0,High,S
Rottweiler,47.0,87.6,51.4,2,74.0,Low,XL
Boxer,31.2,66.9,36.0,6,44.0,High,L
Labrador,32.9,82.6,45.6,3,40.0,Low,XL
Dachshund,9.5,39.4,32.3,7,85.0,Low,S
Poodle,17.9,58.0,,7,69.0,Medium,M
Boxer,26.2,65.4,37.7,5,16.0,Low,L
Bulldog,18.1,65.5,38.0,4,62.0,Medium,L
Golden Retriever,28.5,76.1,39.1,4,111.0,Medium,L
Dachshund,7.9,49.8,33.5,4,37.0,High,S
Rottweiler,40.4,99.9,51.3,3,22.0,Medium,XL
Labrador,33.5,70.0,44.9,7,86.0,High,L
Boxer,30.6,63.4,39.7,5,115.0,Medium,M
Beagle,13.7,42.7,32.3,4,3.0,High,S
Poodle,20.8,50.4,36.5,2,82.0,High,M
German Shepherd,37.4,65.7,48.8,7,83.0,Medium,L
Chihuahua,2.3,28.8,19.6,3,72.0,High,XS
Dachshund,14.6,47.7,28.2,4,37.0,Medium,S
Chihuahua,3.4,33.8,23.1,3,22.0,Low,XS
Rottweiler,59.9,88.3,54.5,7,26.0,Medium,XL
German Shepherd,30.6,65.9,51.7,6,53.0,High,L
Dachshund,10.8,37.0,29.9,1,102.0,Low,S
Chihuahua,3.7,26.7,15.6,7,103.0,Medium,XS
Chihuahua,3.0,29.4,23.8,5,31.0,High,XS
Bulldog,21.3,59.0,,3,118.0,Medium,M
Labrador,28.4,83.2,44.6,6,14.0,Low,XL
Rottweiler,52.7,99.9,56.8,2,26.0,Medium,XL
Boxer,29.3,74.0,35.7,6,78.0,Medium,L
Rottweiler,44.7,80.7,45.1,4,19.0,Low,XL
Labrador,25.1,75.7,47.4,2,103.0,Medium,L
Bulldog,21.8,61.4,42.4,3,11.0,Medium,M
German Shepherd,29.2,82.2,41.0,6,107.0,Medium,XL
Chihuahua,3.1,27.6,20.4,1,21.0,Medium,XS
Dachshund,,35.8,33.6,6,45.0,High,S
German Shepherd,138.0,65.5,43.2,5,47.0,Low,L
Golden Retriever,25.2,67.4,43.9,2,62.0,High,L
Poodle,17.8,51.0,34.4,6,55.0,High,M
Boxer,27.7,67.2,43.1,6,78.0,High,L
Golden Retriever,27.0,79.5,38.0,3,100.0,High,L
Beagle,11.6,44.8,32.7,6,59.0,Low,S
Chihuahua,2.2,28.5,19.1,4,17.0,Low,XS
German Shepherd,31.3,65.2,53.2,7,15.0,High,L
Chihuahua,2.4,28.8,17.5,2,5.0,Medium,XS
Chihuahua,3.2,26.3,16.1,5,,Low,XS
Bulldog,24.7,63.8,43.6,6,90.0,Medium,M
Poodle,16.6,55.1,36.5,6,92.0,Low,M
Rottweiler,51.2,84.3,57.5,2,45.0,Low,XL
Chihuahua,3.5,27.5,20.1,4,29.0,Low,XS
Boxer,31.0,66.0,40.8,7,68.0,Low,L
German Shepherd,22.2,70.7,47.5,1,82.0,Low,L
Chihuahua,2.7,32.1,22.7,7,17.0,Medium,XS
Bulldog,19.8,64.8,35.4,2,53.0,Low,M
German Shepherd,31.9,75.0,42.4,6,46.0,Low,L
Bulldog,24.1,62.6,41.7,5,105.0,Medium,M
Poodle,16.9,53.4,32.7,4,34.0,High,M
Beagle,13.2,47.8,33.5,7,9.0,Medium,S
Bulldog,19.1,63.8,36.7,4,118.0,Low,M
Beagle,11.2,46.5,35.9,2,2.0,High,S
Beagle,11.9,45.8,38.9,4,113.0,Low,S
Boxer,26.6,66.2,37.3,4,66.0,Low,L
Beagle,12.3,,38.6,2,106.0,High,S
Beagle,10.9,47.4,33.0,7,59.0,Medium,S
Rottweiler,42.4,97.3,59.0,1,28.0,Medium,XL
Beagle,13.1,48.2,36.2,7,93.0,Medium,S
Golden Retriever,33.1,72.9,39.1,5,54.0,Medium,L
German Shepherd,30.6,80.6,41.5,1,51.0,Medium,XL
Dachshund,11.2,41.7,31.2,6,74.0,High,S
German Shepherd,22.1,83.4,53.3,5,46.0,Medium,XL
Labrador,25.6,69.7,38.7,7,8.0,High,L
Beagle,10.1,47.9,33.1,5,14.0,Medium,S
Beagle,12.7,50.3,35.0,6,75.0,Low,M
Beagle,9.6,44.6,33.8,4,116.0,Medium,S
Chihuahua,2.6,25.1,20.9,4,9.0,Medium,XS
Chihuahua,2.6,31.9,19.7,6,62.0,Low,XS
German Shepherd,26.3,68.1,50.8,3,55.0,High,L
Chihuahua,2.1,32.4,21.1,6,39.0,Medium,XS
Rottweiler,37.3,94.0,,3,105.0,Low,XL
Beagle,12.9,44.4,30.6,7,21.0,Low,S
Dachshund,7.3,35.4,34.3,6,40.0,High,S
Poodle,22.5,46.8,31.8,3,21.0,Low,S
Rottweiler,48.6,85.9,59.4,7,24.0,High,XL
Bulldog,19.4,62.4,41.8,4,72.0,High,M
Chihuahua,3.6,30.9,18.7,3,41.0,Low,XS
Boxer,26.9,62.3,38.4,5,74.0,Low,M
Boxer,29.0,70.6,43.2,7,115.0,High,L
Dachshund,,39.3,29.1,5,55.0,Medium,S
Beagle,12.3,40.1,30.2,7,14.0,Low,S
Boxer,25.4,61.2,40.5,1,59.0,High,M
Bulldog,18.2,67.6,41.6,3,107.0,Medium,L
Beagle,11.0,52.4,39.4,4,119.0,High,M
Beagle,12.5,45.9,38.4,1,1.0,Low,S
Beagle,13.1,44.9,31.6,4,112.0,Medium,S
Beagle,12.3,40.7,38.8,1,,High,S
German Shepherd,27.6,71.2,49.4,2,72.0,Low,L
Labrador,26.0,76.6,39.0,1,18.0,Low,L
Rottweiler,40.3,86.0,48.1,1,78.0,High,XL
Labrador,28.8,66.5,46.9,2,88.0,Low,L
Rottweiler,41.1,76.9,55.4,1,95.0,Medium,L
Beagle,13.7,49.5,30.4,6,91.0,Medium,S
Beagle,12.5,45.6,40.0,1,46.0,Low,S
German Shepherd,32.7,72.2,50.4,6,18.0,High,L
Chihuahua,3.3,26.7,15.0,2,57.0,High,XS
German Shepherd,26.1,78.7,51.2,6,29.0,Low,L
Dachshund,12.4,48.5,30.2,5,77.0,Low,S
Dachshund,12.3,38.3,27.9,4,53.0,Medium,S
Poodle,19.2,53.0,32.0,4,56.0,Low,M
Boxer,26.6,64.8,43.2,2,53.0,High,M
German Shepherd,27.6,69.0,50.1,4,14.0,Low,L
Poodle,22.2,57.2,33.0,2,70.0,High,M
Golden Retriever,27.0,76.5,48.2,5,89.0,High,L
Boxer,155.5,73.0,36.8,1,40.0,Low,L
Bulldog,23.0,58.6,43.8,3,118.0,Low,M
Beagle,12.5,47.0,31.7,3,44.0,Low,S
Golden Retriever,32.7,236.70000000000002,43.9,1,93.0,Low,L
Poodle,22.4,55.8,31.1,7,14.0,High,M
German Shepherd,24.0,68.8,40.1,2,100.0,Low,L
Chihuahua,2.2,31.1,19.8,2,59.0,Medium,XS
German Shepherd,27.8,75.4,48.5,7,,High,L
Labrador,32.3,79.5,42.8,7,10.0,High,L
German Shepherd,24.3,78.6,47.8,7,85.0,Medium,L
Rottweiler,47.7,84.4,46.8,1,61.0,High,XL
Dachshund,12.6,38.8,33.3,3,80.0,Medium,S
Dachshund,8.8,44.7,25.8,1,23.0,Low,S
Dachshund,8.0,39.7,31.6,5,96.0,Low,S
German Shepherd,31.7,77.8,48.4,3,20.0,High,L
Golden Retriever,31.4,79.3,48.8,5,97.0,Low,L
Chihuahua,,,23.0,6,2.0,High,XS
Dachshund,9.6,39.3,33.0,6,39.0,Low,S
Chihuahua,3.8,26.3,22.6,3,13.0,High,XS
German Shepherd,35.7,73.2,,3,54.0,High,L
German Shepherd,27.7,80.0,43.8,6,75.0,Low,XL
Golden Retriever,27.5,79.8,44.8,5,1.0,High,L
Labrador,34.9,71.8,40.7,1,30.0,Medium,L
Dachshund,12.3,47.0,31.0,6,100.0,Medium,S
Golden Retriever,30.8,70.6,47.5,6,92.0,High,L
Rottweiler,40.5,82.6,55.0,4,116.0,High,XL
Chihuahua,2.6,34.0,19.4,5,55.0,Low,XS
German Shepherd,33.5,70.7,50.4,7,24.0,Medium,L
Poodle,17.8,47.3,38.6,1,14.0,Low,S
Labrador,25.8,70.4,49.9,6,116.0,Medium,L
German Shepherd,25.5,82.3,50.0,5,72.0,Medium,XL
German Shepherd,32.7,80.3,,6,21.0,High,XL
Beagle,12.3,154.8,34.1,5,47.0,Low,M
Poodle,21.8,59.6,33.4,5,10.0,High,M
Chihuahua,2.8,26.7,20.0,4,8.0,High,XS
Dachshund,14.8,47.8,27.6,2,14.0,Low,S
Bulldog,21.9,60.1,38.1,7,87.0,High,M
German Shepherd,35.6,82.0,43.8,1,62.0,Low,XL
Dachshund,11.6,46.2,33.0,6,103.0,High,S
Boxer,25.3,74.4,40.3,2,79.0,High,L
German Shepherd,22.0,65.8,50.7,5,8.0,Low,L
Poodle,15.8,57.1,33.4,7,43.0,High,M
Rottweiler,46.8,93.0,47.9,3,78.0,Low,XL
Boxer,30.2,66.4,36.3,1,15.0,Medium,L
Labrador,30.3,80.5,40.5,3,2.0,High,XL
Golden Retriever,25.9,77.4,43.2,3,49.0,Medium,L
Labrador,26.0,69.6,40.6,3,100.0,High,L
Boxer,31.1,66.3,38.9,1,16.0,Low,L
Rottweiler,,79.2,45.1,7,77.0,Medium,L
Bulldog,18.0,60.5,44.1,6,117.0,High,M
Poodle,15.8,47.2,33.0,4,71.0,High,S
Dachshund,10.4,49.7,25.1,1,106.0,Medium,S
Labrador,28.0,82.7,38.6,6,108.0,Low,XL
Bulldog,20.7,,40.9,5,41.0,High,L
Boxer,30.1,,41.7,7,5.0,High,L
Poodle,20.9,56.4,39.3,4,54.0,High,M
German Shepherd,35.6,72.6,42.8,1,98.0,Medium,L
Dachshund,14.1,44.0,26.3,3,53.0,High,S
Bulldog,18.5,68.8,40.7,6,13.0,Medium,L
Poodle,24.9,47.2,32.6,3,69.0,Low,S
Labrador,34.0,84.1,43.8,2,114.0,Low,XL
Beagle,11.5,52.7,34.9,1,48.0,High,M
Chihuahua,2.4,25.8,16.5,6,41.0,High,XS
Boxer,27.9,62.6,35.7,3,97.0,Medium,M
Golden Retriever,31.1,65.4,47.2,4,33.0,Low,L
Boxer,27.2,69.0,39.2,4,101.0,High,L
Rottweiler,55.4,92.8,49.2,5,15.0,Low,XL
Rottweiler,37.4,97.0,58.4,6,19.0,High,XL
Chihuahua,2.5,30.6,20.5,2,19.0,Low,XS
Golden Retriever,27.6,71.3,41.2,2,94.0,Medium,L
Boxer,31.6,68.3,43.9,6,40.0,Medium,L
Rottweiler,45.9,88.6,56.7,7,32.0,High,XL
Golden Retriever,34.7,74.6,40.7,3,76.0,High,L
Bulldog,22.5,69.7,36.0,4,18.0,Medium,L
Labrador,35.5,66.8,43.4,1,111.0,Low,L
Boxer,27.3,63.6,42.3,5,110.0,Medium,M
Bulldog,22.5,57.5,41.0,1,5.0,High,M
Dachshund,,46.2,30.1,7,34.0,Medium,S
Chihuahua,2.2,33.2,18.5,3,47.0,Low,XS
Rottweiler,54.1,96.0,51.0,2,63.0,Medium,XL
Golden Retriever,25.5,73.6,45.3,5,4.0,Unknown,L
Dachshund,13.6,44.7,26.5,4,,Medium,S
Chihuahua,2.5,32.5,19.9,6,34.0,Low,XS
Bulldog,24.0,64.0,44.4,7,110.0,High,M
Chihuahua,3.9,29.9,19.3,3,22.0,Medium,XS
Golden Retriever,27.4,75.6,41.3,2,,Medium,L
Labrador,34.2,66.3,43.1,6,65.0,Medium,L
Bulldog,24.6,62.9,36.9,2,13.0,High,M
Golden Retriever,30.5,68.0,39.9,7,20.0,High,L
Poodle,23.8,58.5,35.1,1,82.0,High,M
Labrador,34.4,76.5,38.7,5,48.0,High,L
German Shepherd,28.9,78.7,42.6,6,111.0,Low,L
Labrador,27.9,,40.7,2,10.0,Low,L
German Shepherd,22.7,69.4,50.1,4,14.0,High,L
Beagle,12.0,42.5,32.2,7,89.0,High,S
Dachshund,13.1,47.6,33.6,2,26.0,Medium,S
Chihuahua,4.0,26.1,21.3,3,10.0,Medium,XS
Chihuahua,3.4,34.0,18.7,6,14.0,Medium,XS
Boxer,28.3,65.9,38.2,3,15.0,High,L
Beagle,12.5,41.7,35.4,5,56.0,High,S
Rottweiler,53.9,78.3,51.3,4,6.0,Low,L
Chihuahua,3.2,31.1,16.9,3,47.0,Low,XS
German Shepherd,25.7,65.5,48.9,6,51.0,Medium,L
Labrador,35.9,72.2,43.1,6,13.0,High,L
Poodle,22.9,55.0,32.8,6,43.0,High,M
Dachshund,11.9,44.6,31.4,5,60.0,Low,S
Labrador,27.2,74.8,45.2,7,48.0,Medium,L
Poodle,24.6,54.8,33.3,2,27.0,Low,M
Beagle,9.3,48.7,34.8,3,114.0,Low,S
Boxer,31.1,62.9,38.5,3,10.0,Low,M
Labrador,26.5,78.7,39.2,2,24.0,Low,L
German Shepherd,39.6,79.7,54.1,7,,High,L
Bulldog,18.7,62.6,43.1,4,,Medium,M
Bulldog,20.8,57.6,41.7,1,36.0,High,M
Chihuahua,2.8,34.1,15.9,7,25.0,Low,XS
Boxer,27.6,72.8,40.9,3,66.0,Medium,L
Golden Retriever,27.9,79.5,38.3,5,38.0,High,L
Chihuahua,2.3,34.0,18.5,4,56.0,High,XS
Rottweiler,44.0,78.8,46.8,2,59.0,Low,L
Golden Retriever,28.7,78.8,40.9,7,58.0,Low,L
Bulldog,23.6,65.9,39.4,1,13.0,Low,L
Rottweiler,59.6,99.2,47.9,4,9.0,Medium,XL
Rottweiler,37.1,91.4,59.7,3,63.0,Low,XL
Rottweiler,59.6,91.5,46.4,7,37.0,Medium,XL
Chihuahua,3.7,26.0,21.5,3,50.0,High,XS
Rottweiler,48.8,92.7,51.6,2,55.0,High,XL
Beagle,13.4,42.3,35.5,2,16.0,Medium,S
Golden Retriever,28.1,76.2,38.8,3,20.0,Low,L
Bulldog,21.6,57.7,42.3,1,105.0,Low,M
Golden Retriever,32.8,71.6,42.1,2,105.0,Low,L
German Shepherd,35.7,66.8,54.9,5,67.0,High,L
Bulldog,23.1,56.2,38.8,4,15.0,Medium,M
Poodle,21.7,59.8,38.7,7,83.0,High,M
Labrador,34.5,66.1,41.6,1,92.0,Low,L
Chihuahua,2.7,34.4,19.0,2,16.0,Medium,XS
Chihuahua,2.4,29.6,,3,33.0,Medium,XS
Chihuahua,2.1,34.5,16.3,6,102.0,High,XS
Bulldog,21.6,59.7,38.9,1,99.0,Medium,M
Boxer,30.0,63.9,38.2,7,9.0,Medium,M
Chihuahua,3.8,26.3,21.1,2,14.0,Medium,XS
Chihuahua,2.2,27.3,16.6,1,62.0,Medium,XS
Dachshund,9.8,44.0,32.3,7,110.0,Low,S
Rottweiler,57.7,92.5,49.3,6,30.0,High,XL
Beagle,12.2,43.7,37.1,2,87.0,Low,S
Labrador,26.6,69.2,44.7,2,118.0,High,L
Chihuahua,2.6,30.5,22.6,6,62.0,Low,XS
Rottweiler,55.9,87.7,54.5,6,24.0,Medium,XL
Poodle,24.0,57.3,35.4,1,112.0,Low,M
Beagle,11.1,163.5,34.3,1,64.0,Medium,M
German Shepherd,25.5,84.7,47.3,7,100.0,Medium,XL
Chihuahua,3.6,29.0,21.4,4,,High,XS
Boxer,29.8,71.2,36.7,4,88.0,Medium,L
Boxer,28.3,74.5,43.6,3,25.0,High,L
German Shepherd,25.4,77.6,54.5,3,17.0,High,L
Labrador,30.3,81.1,40.5,1,15.0,Low,XL
Chihuahua,2.1,29.1,20.7,5,66.0,High,XS
Dachshund,13.4,38.6,27.0,5,5.0,Low,S
Rottweiler,40.9,87.2,59.1,1,,High,XL
Golden Retriever,30.5,71.5,48.5,1,104.0,Low,L
Golden Retriever,27.5,72.4,44.9,6,23.0,Low,L
Poodle,21.7,48.7,30.6,7,48.0,High,S
Dachshund,14.8,46.9,29.9,2,6.0,Medium,S
Chihuahua,3.3,32.6,20.2,2,56.0,High,XS
Golden Retriever,27.1,72.9,42.9,7,95.0,Low,L
Chihuahua,3.8,102.30000000000001,22.2,4,,High,XS
German Shepherd,33.3,73.9,47.2,5,47.0,High,L
Boxer,31.6,73.0,37.1,5,76.0,Medium,L
Chihuahua,3.3,27.5,20.1,7,49.0,High,XS
German Shepherd,34.9,78.0,50.9,2,56.0,High,L
Bulldog,18.1,64.3,,7,107.0,High,M
Rottweiler,56.0,87.8,53.6,3,64.0,Medium,XL
Labrador,28.0,73.4,48.1,7,111.0,Medium,L
Boxer,31.2,222.29999999999998,42.5,3,13.0,Medium,L
Rottweiler,41.1,86.5,60.0,7,42.0,High,XL
Labrador,25.7,66.6,,1,70.0,Low,L
Bulldog,19.5,58.3,41.3,7,82.0,Medium,M
Beagle,11.8,47.7,34.2,2,89.0,High,S
German Shepherd,36.6,68.8,40.2,3,116.0,Medium,L
German Shepherd,37.1,67.7,52.7,1,87.0,High,L
Golden Retriever,26.8,72.7,44.2,4,92.0,Medium,L
Chihuahua,2.2,27.7,15.4,6,27.0,Low,XS
Poodle,19.7,45.9,33.9,5,2.0,Medium,S
German Shepherd,25.6,205.5,48.1,3,57.0,High,L
Bulldog,18.3,67.7,40.0,7,61.0,Medium,L
Poodle,20.7,54.2,39.8,4,61.0,Low,M
Rottweiler,,95.6,51.6,1,81.0,High,XL
Rottweiler,54.0,92.3,48.2,1,38.0,High,XL
Poodle,18.0,55.3,31.7,3,30.0,Low,M
Bulldog,19.9,63.5,35.2,5,76.0,Low,M
Labrador,31.2,73.5,44.6,1,87.0,High,L
German Shepherd,37.0,71.4,49.2,1,30.0,Low,L
Labrador,26.0,81.2,47.8,4,115.0,High,XL
Labrador,27.0,76.6,49.0,2,10.0,Low,L
Chihuahua,3.9,34.1,18.9,7,116.0,High,XS
Rottweiler,47.8,82.4,52.4,6,2.0,Low,XL
Bulldog,20.0,63.2,43.2,5,27.0,Low,M
German Shepherd,29.7,73.0,54.4,3,75.0,High,L
Labrador,28.4,74.3,45.8,6,62.0,Low,L
Rottweiler,41.2,81.4,57.7,7,6.0,Medium,XL
Poodle,18.5,59.0,37.4,4,100.0,Medium,M
Dachshund,13.2,42.0,31.1,7,117.0,Medium,S
Bulldog,24.1,59.8,39.6,4,43.0,Medium,M
German Shepherd,31.2,73.1,52.8,3,86.0,Medium,L
Boxer,31.3,73.8,42.6,4,76.0,Medium,L
Labrador,27.4,84.3,42.1,1,71.0,Low,XL
German Shepherd,25.2,67.5,46.0,4,90.0,Low,L
Boxer,30.1,71.8,38.4,2,108.0,High,L
Chihuahua,2.0,26.3,20.5,7,17.0,High,XS
Boxer,31.2,,42.8,1,45.0,Medium,L
German Shepherd,24.6,69.5,42.5,7,14.0,Low,L
Chihuahua,2.5,29.1,24.7,2,40.0,High,XS
Bulldog,24.6,61.3,35.5,1,70.0,Low,M
German Shepherd,28.3,72.9,45.4,4,74.0,High,L
Labrador,31.9,78.2,40.2,1,59.0,Low,L
Poodle,24.2,51.8,38.7,7,119.0,Low,M
Dachshund,11.8,37.0,29.1,4,77.0,High,S
German Shepherd,26.3,81.2,44.1,1,30.0,Medium,XL
Poodle,17.0,58.8,39.3,4,105.0,High,M
Boxer,25.4,,42.5,1,107.0,High,M
Bulldog,,67.0,44.8,2,55.0,High,L
Poodle,18.2,55.6,39.5,7,62.0,High,M
Chihuahua,3.5,28.7,24.7,4,30.0,High,XS
Boxer,26.3,62.1,39.8,2,52.0,High,M
Poodle,19.7,54.6,30.7,1,62.0,High,M
Labrador,31.5,78.6,42.7,6,54.0,High,L
Beagle,11.1,54.9,38.9,7,61.0,Medium,M
Boxer,25.0,64.1,43.5,7,38.0,High,M
Beagle,9.3,40.9,33.6,7,58.0,Low,S
Bulldog,21.1,61.8,40.4,2,8.0,High,M
Poodle,23.0,51.2,35.3,1,78.0,Low,M
German Shepherd,33.2,66.9,43.4,4,19.0,Low,L
German Shepherd,27.5,,42.0,2,72.0,Low,L
Dachshund,12.9,,31.7,2,24.0,Medium,S
Poodle,16.1,45.4,,2,44.0,Low,S
Boxer,30.5,65.4,41.6,1,116.0,Medium,L
German Shepherd,30.2,67.7,50.0,6,83.0,Medium,L
Chihuahua,3.7,25.3,17.5,2,15.0,High,XS
Golden Retriever,33.4,72.0,40.9,7,39.0,High,L
Boxer,28.2,73.9,37.4,2,10.0,Low,L
Dachshund,12.9,36.1,26.1,5,20.0,Low,S
Bulldog,19.7,55.2,44.9,3,54.0,Low,M
Poodle,17.9,56.1,38.3,2,22.0,High,M
Golden Retriever,26.7,80.0,41.5,6,89.0,Medium,XL
Beagle,11.4,42.3,39.2,4,84.0,High,S
Rottweiler,56.6,80.5,58.9,6,7.0,High,XL
Boxer,25.8,67.9,36.7,6,19.0,Medium,L
Bulldog,22.4,62.4,42.8,2,60.0,Low,M
Bulldog,20.9,56.2,37.5,6,113.0,Medium,M
Rottweiler,44.2,89.7,45.5,7,69.0,Low,XL
Dachshund,9.9,45.0,26.0,7,119.0,Low,S
Poodle,18.6,59.2,38.6,6,109.0,Medium,M
Boxer,30.4,72.3,41.4,3,12.0,Medium,L
Chihuahua,3.3,27.6,17.9,3,114.0,Medium,XS
Poodle,15.4,49.2,34.2,4,102.0,Medium,S
Dachshund,9.2,46.4,34.3,7,32.0,High,S
Golden Retriever,25.9,78.3,43.0,2,85.0,Low,L
Beagle,13.2,51.4,34.9,7,66.0,Medium,M
Chihuahua,2.4,25.5,20.4,7,99.0,High,XS
Labrador,28.9,76.0,44.8,5,40.0,High,L
Rottweiler,45.7,299.1,50.8,4,62.0,Medium,XL
Dachshund,14.2,44.5,31.9,2,47.0,Medium,S
Labrador,33.5,66.6,46.0,6,36.0,Medium,L
Rottweiler,50.6,91.7,58.4,4,7.0,Low,XL
Beagle,12.4,50.5,38.9,3,44.0,High,M
Beagle,14.0,48.3,35.9,5,110.0,High,S
German Shepherd,190.5,68.5,53.8,6,2.0,High,L
Dachshund,7.0,44.2,26.1,3,64.0,Medium,S
Bulldog,24.9,63.8,36.6,4,15.0,Medium,M
Boxer,27.5,72.5,,4,,High,L
Labrador,28.6,80.2,44.5,5,91.0,High,XL
Golden Retriever,30.1,67.6,42.4,5,109.0,Medium,L
Bulldog,20.4,59.7,42.6,7,51.0,Low,M
Rottweiler,41.2,78.2,57.4,1,29.0,High,L
Poodle,23.5,45.7,30.9,5,77.0,Medium,S
Golden Retriever,29.4,79.1,41.8,5,42.0,High,L
Beagle,13.2,53.3,36.7,5,51.0,Medium,M
Rottweiler,42.4,84.0,52.7,7,74.0,Low,XL
German Shepherd,,78.6,52.8,1,113.0,Low,L
Golden Retriever,33.0,78.2,49.1,7,77.0,Medium,L
Dachshund,12.4,43.5,26.5,6,,Low,S
Labrador,152.0,66.5,45.7,1,84.0,Medium,L
Golden Retriever,33.5,72.4,42.8,5,52.0,High,L
Dachshund,13.2,35.1,30.4,4,9.0,High,S
Boxer,28.0,64.3,39.2,6,34.0,High,M
Rottweiler,46.8,99.3,46.8,3,110.0,Low,XL
Boxer,25.0,69.9,40.5,3,36.0,Medium,L
Rottweiler,38.9,93.5,57.4,2,99.0,High,XL
Boxer,27.7,71.8,41.1,5,119.0,Low,L
Chihuahua,3.4,29.4,23.0,6,70.0,Low,XS
Golden Retriever,28.5,77.5,47.7,2,44.0,Low,L
German Shepherd,36.1,75.2,41.0,4,23.0,Medium,L
Labrador,32.5,69.5,39.0,4,103.0,High,L
Dachshund,13.4,35.9,29.0,7,78.0,High,S
Labrador,34.4,72.9,42.1,7,,Medium,L
Chihuahua,2.6,34.6,15.7,5,79.0,High,XS
Boxer,26.7,74.1,35.7,6,99.0,Low,L
German Shepherd,35.8,73.7,46.2,2,75.0,Medium,L
Rottweiler,36.3,82.5,51.2,2,,Medium,XL
Boxer,26.8,69.2,41.7,1,56.0,Medium,L
Chihuahua,3.6,33.0,20.9,6,107.0,High,XS
Beagle,9.8,49.6,31.4,4,51.0,Medium,S
Labrador,26.6,74.2,,2,117.0,High,L
Golden Retriever,27.1,,41.2,1,10.0,Low,L
German Shepherd,22.3,83.5,40.7,2,105.0,Medium,XL
Beagle,10.5,40.9,36.3,7,96.0,Medium,S
Golden Retriever,32.4,68.0,43.1,4,119.0,Medium,L
Bulldog,20.2,66.8,39.1,4,95.0,Low,L
Dachshund,13.7,47.5,33.2,3,119.0,Medium,S
Rottweiler,46.4,86.7,55.2,3,11.0,High,XL
Golden Retriever,25.1,67.0,41.9,7,35.0,High,L
Golden Retriever,29.5,73.3,39.5,4,64.0,High,L
Chihuahua,3.0,26.3,16.7,1,47.0,High,XS
Boxer,29.4,65.7,44.7,1,18.0,Medium,L
Labrador,33.1,71.3,47.7,3,73.0,Medium,L
Poodle,22.8,56.8,30.3,1,15.0,Medium,M
Golden Retriever,28.1,66.9,47.2,5,70.0,Low,L
Poodle,21.2,50.9,35.4,6,112.0,Low,M
Boxer,30.4,72.2,37.5,5,20.0,Medium,L
Bulldog,20.5,65.0,42.6,3,112.0,Low,L
Golden Retriever,27.8,69.8,49.2,6,3.0,Low,L
Chihuahua,3.2,32.7,24.8,1,66.0,Medium,XS
Golden Retriever,30.4,74.7,41.6,7,65.0,High,L
Poodle,22.0,53.4,34.4,5,40.0,High,M
Bulldog,22.4,55.4,39.8,5,45.0,Medium,M
Bulldog,20.0,56.1,44.9,7,117.0,High,M
Bulldog,24.4,56.3,41.6,1,31.0,Low,M
Bulldog,19.9,65.3,41.7,6,24.0,High,L
Rottweiler,53.0,95.1,57.4,5,71.0,Low,XL
Rottweiler,44.2,264.9,50.0,3,24.0,High,XL
Chihuahua,2.2,29.8,23.2,3,58.0,Medium,XS
Beagle,10.8,51.8,35.3,7,107.0,High,M
Poodle,23.4,58.9,31.7,1,34.0,Medium,M
Boxer,29.1,69.3,41.3,3,85.0,Low,L
Boxer,26.6,70.6,41.4,1,7.0,High,L
Boxer,26.0,61.5,36.9,4,119.0,Low,M
Golden Retriever,30.2,74.8,48.0,3,38.0,Low,L
Chihuahua,2.1,27.5,23.5,6,65.0,Medium,XS
Boxer,25.9,61.1,37.7,7,68.0,Low,M
Poodle,23.9,57.8,35.9,4,84.0,Medium,M
Dachshund,13.2,35.0,34.1,4,24.0,Low,S
Dachshund,10.9,42.8,25.9,1,64.0,High,S
Bulldog,23.1,63.6,43.1,2,,High,M
